n,lambda=3,lambda=4,lambda=2
0,0.950212931632136,0.9816843611112658,0.8646647167633873
1,0.8008517265285442,0.9084218055563291,0.5939941502901619
2,0.5768099188731565,0.7618966944464557,0.3233235838169365
3,0.35276811121776874,0.5665298796332912,0.14287653950145285
4,0.18473675547622792,0.3711630648201266,0.052653017343711084
5,0.08391794203130343,0.21486961296959495,0.016563608480614334
6,0.033508535308841125,0.11067397840257387,0.004533805526248713
7,0.011904503856357329,0.051133615792847475,0.0010967189678585676
8,0.0038029920616758917,0.02136343448798428,0.0002374473282610312
9,0.0011024881301153755,0.00813224279693403,4.6498075017109564e-05
10,0.00029233695064723175,0.0028397661205139535,8.308224368369643e-06
11,7.138662897410164e-05,0.0009152291472702689,1.3646151595381184e-06
12,1.6149048555846868e-05,0.0002737168228557074,2.0734695804769387e-07
13,3.4019146131214484e-06,7.632841534355173e-05,2.9305696314096963e-08
14,6.703859111167887e-07,1.9931727482935813e-05,3.871230336294218e-09
15,1.240801708046746e-07,4.892610719897661e-06,4.799682873368738e-10
16,2.1647844516969883e-08,1.132831529138123e-06,5.6060489583842354e-11
17,3.571551610015433e-09,2.4817760191364613e-07,6.188938250772935e-12
18,5.588360885155907e-10,5.158784033287844e-08,6.477041125663163e-13
19,8.314415822496812e-11,1.0200522093661846e-08,6.439293542825908e-14
20,1.1790346476914237e-11,1.9230584902274472e-09,6.106226635438361e-15
